Council area,Registration Year,Standardised birth rate,
City of Edinburgh,2015,7.8,
Clackmannanshire,2015,12.4,
Dumfries and Galloway,2015,10.9,
Dundee City,2015,8.9,
East Ayrshire,2015,12.1,
East Dunbartonshire,2015,12.0,
East Lothian,2015,11.7,
East Renfrewshire,2015,11.8,
Falkirk,2015,10.7,
Fife,2015,11.1,
Glasgow City,2015,8.9,
Highland,2015,11.3,
Inverclyde,2015,10.2,
Midlothian,2015,13.2,
Moray,2015,11.0,
Na h-Eileanan Siar,2015,11.1,
North Ayrshire,2015,10.8,
North Lanarkshire,2015,11.2,
Orkney Islands,2015,10.9,
Perth and Kinross,2015,10.9,
Renfrewshire,2015,10.5,
Scotland,2015,10.3,
Scottish Borders,2015,12.3,
Shetland Islands,2015,11.6,
South Ayrshire,2015,11.4,
South Lanarkshire,2015,11.0,
Stirling,2015,8.8,
West Dunbartonshire,2015,10.6,
West Lothian,2015,11.4,
Aberdeen City,2016,8.5,
Aberdeenshire,2016,12.2,
Angus,2016,10.8,
Argyll and Bute,2016,11.7,
City of Edinburgh,2016,7.6,
Clackmannanshire,2016,11.4,
Dumfries and Galloway,2016,11.5,
Dundee City,2016,9.0,
East Ayrshire,2016,11.6,
East Dunbartonshire,2016,11.7,
East Lothian,2016,11.4,
East Renfrewshire,2016,11.5,
Falkirk,2016,10.5,
Fife,2016,11.0,
Glasgow City,2016,8.4,
Highland,2016,11.0,
Inverclyde,2016,10.2,
Midlothian,2016,13.0,
Moray,2016,11.4,
Na h-Eileanan Siar,2016,11.9,
North Ayrshire,2016,10.8,
North Lanarkshire,2016,10.6,
Orkney Islands,2016,10.0,
Perth and Kinross,2016,10.6,
Renfrewshire,2016,10.7,
Scotland,2016,10.1,
Scottish Borders,2016,12.0,
Shetland Islands,2016,13.3,
South Ayrshire,2016,11.0,
South Lanarkshire,2016,11.5,
Stirling,2016,8.8,
West Dunbartonshire,2016,11.1,
West Lothian,2016,11.4,
Aberdeen City,2017,8.3,
Aberdeenshire,2017,11.8,
Angus,2017,11.1,
Argyll and Bute,2017,11.1,
City of Edinburgh,2017,7.2,
Clackmannanshire,2017,12.1,
Dumfries and Galloway,2017,10.9,
Dundee City,2017,8.4,
East Ayrshire,2017,10.5,
East Dunbartonshire,2017,12.5,
East Lothian,2017,10.6,
East Renfrewshire,2017,11.8,
Falkirk,2017,10.5,
Fife,2017,10.2,
Glasgow City,2017,8.3,
Highland,2017,10.7,
Inverclyde,2017,9.7,
Midlothian,2017,12.9,
Moray,2017,10.5,
Na h-Eileanan Siar,2017,11.0,
North Ayrshire,2017,10.4,
North Lanarkshire,2017,10.8,
Orkney Islands,2017,10.3,
Perth and Kinross,2017,9.8,
Renfrewshire,2017,10.7,
Scotland,2017,9.7,
Scottish Borders,2017,11.7,
Shetland Islands,2017,11.2,
