Council area,Year,Sex,Age group,Number
Aberdeen City,2014-15,Female,75 to 79,2
Aberdeen City,2014-15,Female,80 to 84,-5
Aberdeen City,2014-15,Female,85 to 89,-1
Aberdeen City,2014-15,Female,90 and over,-8
Aberdeen City,2014-15,Female,All ages,411
Aberdeen City,2014-15,Male,0 to 4,-136
Aberdeen City,2014-15,Male,10 to 14,1
Aberdeen City,2014-15,Male,15 to 19,518
Aberdeen City,2014-15,Male,20 to 24,641
Aberdeen City,2014-15,Male,25 to 29,323
Aberdeen City,2014-15,Male,30 to 34,-117
Aberdeen City,2014-15,Male,35 to 39,-103
Aberdeen City,2014-15,Male,40 to 44,-35
Aberdeen City,2014-15,Male,45 to 49,-34
Aberdeen City,2014-15,Male,5 to 9,-73
Aberdeen City,2014-15,Male,50 to 54,-25
Aberdeen City,2014-15,Male,55 to 59,-33
Aberdeen City,2014-15,Male,60 to 64,-109
Aberdeen City,2014-15,Male,65 to 69,-77
Aberdeen City,2014-15,Male,70 to 74,-41
Aberdeen City,2014-15,Male,75 to 79,-17
Aberdeen City,2014-15,Male,80 to 84,-5
Aberdeen City,2014-15,Male,85 to 89,-4
Aberdeen City,2014-15,Male,90 and over,0
Aberdeen City,2014-15,Male,All ages,674
Aberdeen City,2015-16,Female,0 to 4,-90
Aberdeen City,2015-16,Female,10 to 14,-16
Aberdeen City,2015-16,Female,15 to 19,885
Aberdeen City,2015-16,Female,20 to 24,-84
Aberdeen City,2015-16,Female,25 to 29,-358
